obs,time,elapsed,date,plot,number,TIME,E,A,Ca,Ci,Pci,Pca,gsw,gbw,gtw,gtc,Rabs,TleafEB,TleafCnd,SVPleaf,RHcham,VPcham,SVPcham,VPDleaf,LatHFlux,SenHFlux,NetTherm,EBSum,blfa_1,blfa_2,blfa_3,Leak,LeakPct,CorrFact,CorrFactPct,Fan,DarkAdaptedID,Fo,Fm,Fv,Fv/Fm,Adark,LightAdaptedID,Fs,Fm',PhiPS2,PS2/1,Qabs_fs,Afs,ETR,Fv'/Fm',PhiCO2,NPQ,DarkPulseID,Fo',Fv',qP,qN,qP_Fo,qN_Fo,Qin,Qabs,alpha,convert,S,K,Geometry,TIME,CO2_s,CO2_r,H2O_s,H2O_r,Flow,Pa,¦¤Pcham,Tair,Tleaf,Tleaf2,Fan_speed,Qamb_in,Qamb_out,Q,f_red,f_blue,f_farred,F,Q_modavg,F_dc,Pc,Tled,TDigital,TPreamp,TPwrSpy,TDrive,Q_red,Q_blue,Q_farred,TSPF,F_avg,dF/dt,dF_dc/dt,F_dc_avg,period,MatchValveR,MatchValveS,MatchCO2,MatchH2O,DIAG,Flow_s,Flow_r,Txchg,Tirga,Tchopper,Ts,Tr,CO2_%,Desiccant_%,Humidifier_%,Txchg_sp,CO2_r_sp,H2O_r_sp,SS_s,SS_r
1,1511915578,0,20171129 08:32:58,1,1,1511915578,0.002802199,8.046108651,395.435,302.9740809,30.47955732,39.7812371,0.15994403,3.14071622,0.155552838,0.097605013,193.7091817,26.36621644,26.0673,3.387719351,48.08841519,1.620554615,3.36994806,1.767164736,-123.5769697,-15.05275183,-1.024263156,54.05519699,-0.041670051,0.046778282,3.487450351,0,0,1,0,53315.56939,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,1009.0185,8.046108651,#DIV/0!,#DIV/0!,0.007974193,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,1199.8,1009.0185,0.840988915,0.19197783,3.5,0.5,0: Broadleaf,1511915578,395.435,400.012,16.1087,14.7302,700.015,100.401,0.200204,25.9784,26.0673,999.9,10008.8,0,0.776149,1199.8,0.967005,0.0329954,0,564.815,1.00001,6812.53,10390.4,37.625,39.812,38.812,39.25,40.187,1159.25,39.55,0,1861.4,564.8128077,0.100820507,-10.61538464,6814.437692,15,100,100,3.5,0.098,2,753.517,728.906,24.9999,22.7159,30.0003,22.6001,22.5542,24.8637,36.1729,0,25,400,14.7238,103.957,104.493
2,1511915657,79,20171129 08:34:17,1,1,1511915657,0.002751877,8.063729593,395.46,302.5912133,30.44157626,39.78445249,0.159217001,3.140451265,0.154864697,0.097171563,161.8372753,26.13617026,25.9397,3.362237324,48.22535404,1.618822591,3.356787365,1.743414733,-121.3577818,-4.639039436,-0.315383005,35.52507107,-0.041665468,0.046773138,3.487147267,0,0,1,0,53321.77947,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,841.1601528,8.063729593,#DIV/0!,#DIV/0!,0.009586438,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,999.954,841.1601528,0.841198848,0.192397696,3.5,0.5,0: Broadleaf,1511915657,395.46,400.036,16.0912,14.7374,699.999,100.403,0.199975,25.9123,25.9397,999.9,10007.5,0,0.72071,999.954,0.960001,0.0399992,0,555.282,1.00001,5584.39,8640.62,37.437,39.75,38.75,39.187,40.062,959,39.96,0,1940.6,555.4278462,1.214085487,19.2694017,5581.859615,15,100,100,3.454,0.094,2,753.464,728.32,25,22.7159,30,22.6053,22.56,24.8622,36.5849,0,25,400,14.6609,103.946,104.484
3,1511915737,159,20171129 08:35:37,1,1,1511915737,0.002706628,7.758958883,395.566,305.31506,30.71590286,39.79550446,0.158058106,3.140330816,0.15376785,0.096480669,129.9349945,25.89117694,25.8197,3.33842595,48.223676,1.611152235,3.340998381,1.727273716,-119.3623018,2.200919694,0.149484451,12.92309685,-0.041663385,0.0467708,3.487009484,0,0,1,0,53333.44746,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,673.2575415,7.758958883,#DIV/0!,#DIV/0!,0.011524503,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,800.071,673.2575415,0.841497244,0.192994488,3.5,0.5,0: Broadleaf,1511915737,395.566,399.981,16.0148,14.6831,699.969,100.404,0.199956,25.8327,25.8197,999.9,10006.9,0,0.831589,800.071,0.950026,0.0499739,0,544.068,1.00001,4371.88,6891.52,37.187,39.687,38.625,39.125,39.875,759.14,39.93,0,2020.4,544.0183462,3.450358961,18.03111114,4368.902692,15,100,100,3.478,0.092,2,753.541,728.106,24.9999,22.7168,30.0002,22.6091,22.5637,24.8587,36.7105,0,25,400,14.6233,103.935,104.472
4,1511915826,248,20171129 08:37:06,1,1,1511915826,0.002668262,7.66402715,395.641,306.1423073,30.79943243,39.80344421,0.157406024,3.143507735,0.153154757,0.096094119,98.02511961,25.64214051,25.6973,3.314290225,48.25544094,1.604397488,3.324801218,1.709892737,-117.6703578,9.049846933,0.613406339,-9.981984938,-0.041718342,0.046832494,3.490643697,0,0,1,0,53415.57717,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,505.2487059,7.66402715,#DIV/0!,#DIV/0!,0.015168821,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,600.053,505.2487059,0.842006799,0.194013599,3.5,0.5,0: Broadleaf,1511915826,395.641,400.001,15.9475,14.6346,699.976,100.405,0.199953,25.7507,25.6973,999.9,10020,0,0.776149,600.053,0.933,0.0670001,0,529.214,1.00001,3185.51,5140.67,36.75,39.625,38.375,39,39.562,558.92,40.14,0,2109.8,528.9913077,4.572717955,15.5480342,3183.380769,15,100,100,3.455,0.088,2,753.294,727.399,24.9998,22.7197,30.0001,22.611,22.5656,24.8579,37.0466,0,25,400,14.5678,103.93,104.466
5,1511915903,325,20171129 08:38:23,1,1,1511915903,0.002600525,7.468823192,395.72,307.0898361,30.89403871,39.81046443,0.154862303,3.148726883,0.150752023,0.09458022,66.06154773,25.37691639,25.5499,3.285427236,48.18511079,1.592066468,3.304063106,1.693360767,-114.6831452,16.1775718,1.093322493,-31.35070322,-0.04180869,0.046933917,3.496614625,0,0,1,0,53545.30275,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,337.0732289,7.468823192,#DIV/0!,#DIV/0!,0.022157865,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,399.853,337.0732289,0.842992872,0.195985745,3.5,0.5,0: Broadleaf,1511915903,395.72,399.969,15.8253,14.5456,699.992,100.403,0.199609,25.6452,25.5499,999.9,10041.9,0,0.776149,399.853,0.899985,0.100015,0,517.191,1.00001,2065.7,3389.36,36.312,39.437,38.062,38.875,39.25,358.96,39.89,0,2186.6,516.0868462,7.399999996,22.4796582,2063.458846,15,100,100,3.458,0.09,2,753.233,727.268,24.9998,22.712,30,22.6039,22.558,24.8574,37.4806,0,25,400,14.515,103.93,104.465
6,1511915980,402,20171129 08:39:40,1,1,1511915980,0.002581937,7.334311271,395.845,308.6122884,31.04733316,39.82320879,0.154751615,3.132320965,0.150626244,0.094502891,49.58370489,25.1874557,25.4498,3.265951672,48.20082791,1.583039073,3.284257017,1.682912599,-113.8634207,15.89063763,1.078463727,-47.31061448,-0.041524953,0.046615397,3.477847744,0,0,1,0,53214.83641,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,253.010085,7.334311271,#DIV/0!,#DIV/0!,0.028988217,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,300.135,253.010085,0.842987606,0.195975211,3.5,0.5,0: Broadleaf,1511915980,395.845,400.023,15.7355,14.4649,700.03,100.403,0.200036,25.5439,25.4498,999.9,9973.75,0,0.76229,300.135,0.900083,0.0999168,0,524.43,1.00001,1570.55,2542.05,35.875,39.25,37.75,38.687,38.875,269.25,29.89,0,2263.4,523.5031154,6.023760687,15.87418799,1568.027692,15,100,100,3.446,0.086,2,753.469,726.632,24.9996,22.6986,30,22.5939,22.5477,24.8521,37.8548,0,25,400,14.4367,103.93,104.466
7,1511916057,479,20171129 08:40:57,1,1,1511916057,0.002571822,6.605035884,396.182,316.8821016,31.87960188,39.85748759,0.155331515,3.14078821,0.151186497,0.094854761,33.00531261,25.0202021,25.3389,3.244492691,48.15409151,1.574110296,3.268902489,1.670382395,-113.4173586,21.35203054,1.443832215,-57.61618322,-0.041671296,0.04677968,3.487532702,0,0,1,0,53408.87517,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,168.42,6.605035884,#DIV/0!,#DIV/0!,0.039217646,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,199.79,168.42,0.842985134,0.195970268,3.5,0.5,0: Broadleaf,1511916057,396.182,399.994,15.6466,14.3808,699.995,100.404,0.199984,25.465,25.3389,999.9,10008.8,0,0.72071,199.79,0.899975,0.100025,0,552.778,1.00001,1099.74,1689.26,35.437,39,37.437,38.5,38.562,178.91,19.88,0,2340.8,551.5679231,9.705846164,15.23589735,1099.555,15,100,100,3.454,0.083,2,753.264,726.178,24.9997,22.6815,30,22.5782,22.5331,24.8517,38.1006,0,25,400,14.3822,103.93,104.466
8,1511916138,560,20171129 08:42:18,1,1,1511916138,0.002541202,5.717878641,396.665,326.2230132,32.81893289,39.90559062,0.154244753,3.147212141,0.150164818,0.094210588,24.80033101,24.90938609,25.2707,3.231357358,48.22420125,1.569503534,3.254597263,1.661853824,-112.0670265,20.44553636,1.37872817,-65.44243093,-0.04178246,0.046904472,3.494881628,0,0,1,0,53558.66589,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,126.5643,5.717878641,#DIV/0!,#DIV/0!,0.045177658,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,150.14,126.5643,0.842975223,0.195950446,3.5,0.5,0: Broadleaf,1511916138,396.665,400.028,15.601,14.3502,699.988,100.403,0.199752,25.3912,25.2707,999.9,10035.6,0,0.72071,150.14,0.900183,0.099817,0,566.489,1.00001,844.99,1267.44,35.062,38.75,37.125,38.312,38.187,134.25,14.89,0,2421.8,566.0467308,1.757025628,-2.747794843,844.7730385,15,100,100,3.489,0.081,2,753.292,725.951,24.9997,22.661,30,22.5597,22.5157,24.8483,38.7062,0,25,400,14.2847,103.931,104.466
9,1511916229,651,20171129 08:43:49,1,1,1511916229,0.002485374,4.286299516,397.387,341.2602963,34.33187955,39.97840583,0.151771186,3.130512744,0.147798766,0.092722475,16.50310255,24.7903734,25.1793,3.213826574,48.24217429,1.56224705,3.238342949,1.651579525,-109.6049891,21.55221033,1.459818965,-70.08985721,-0.041493727,0.046580344,3.475779697,0,0,1,0,53218.65624,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,84.22556771,4.286299516,#DIV/0!,#DIV/0!,0.050890717,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,99.9153,84.22556771,0.842969672,0.195939345,3.5,0.5,0: Broadleaf,1511916229,397.387,400.024,15.5288,14.3054,699.994,100.403,0.200205,25.307,25.1793,999.9,9966.25,0,0.665271,99.9153,0.899989,0.100011,0,558.302,1.00001,551.691,840.56,34.625,38.5,36.687,38.062,37.812,89.02,9.89,0,2512.4,558.7975769,-7.937606815,-8.758735082,552.9546538,15,100,100,3.443,0.075,2,753.631,725.682,24.9996,22.6371,30.0001,22.5378,22.4939,24.8487,38.5753,0,25,400,14.2299,103.937,104.476
10,1511916311,733,20171129 08:45:11,1,1,1511916311,0.002498641,1.583807923,398.636,371.4617464,37.37086479,40.10472734,0.15337458,3.142906159,0.14933453,0.0936882,8.233453315,24.67050185,25.0905,3.196874128,48.17438676,1.553309181,3.224346557,1.643564947,-110.190077,24.34857928,1.641390262,-75.96665416,-0.041707933,0.046820809,3.48995551,0,0,1,0,53495.28679,-,0,0,0,#DIV/0!,0,-,0,0,#DIV/0!,0.5,42.03244232,1.583807923,#DIV/0!,#DIV/0!,0.037680607,#DIV/0!,-,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,49.864,42.03244232,0.842941648,0.195883295,3.5,0.5,0: Broadleaf,1511916311,398.636,399.926,15.4397,14.2096,699.961,100.405,0.199881,25.2342,25.0905,999.9,10017.5,0,0.665271,49.864,0.899993,0.100007,0,530.684,1.00001,255.281,415.236,34.25,38.187,36.375,37.812,37.5,43.98,4.89,0,2594.6,532.2807308,-12.51606837,-5.399897446,256.3898077,15,100,100,3.493,0.077,2,753.153,725.434,24.9996,22.6133,29.9999,22.5164,22.4718,24.8513,38.973,0,25,400,14.1858,103.938,104.476
